WKT,name,description
"POLYGON ((106.8894395 -6.3015587, 106.8894502 -6.3027211, 106.8903729 -6.3026891, 106.8904695 -6.3024972, 106.8902549 -6.3018573, 106.8904587 -6.301644, 106.8903622 -6.3014734, 106.8894395 -6.3015587))",Taman Mini Indonesia Indah,
"POLYGON ((106.8508146 -6.2337653, 106.8509434 -6.2345332, 106.8525312 -6.2356851, 106.8526171 -6.2372209, 106.8518017 -6.2398659, 106.8527887 -6.2420843, 106.8537758 -6.2419136, 106.8527887 -6.2399939, 106.853647 -6.2374342, 106.8533037 -6.2347466, 106.8527887 -6.2346186, 106.8526171 -6.2335094, 106.8508146 -6.2337653))",Tebat echo park,
